     Time	   ECG1	   ECG2
[09:56:11.438]	  0.395	  0.485
[09:56:11.445]	  0.385	  0.485
[09:56:11.453]	  0.385	  0.475
[09:56:11.461]	  0.375	  0.465
[09:56:11.469]	  0.365	  0.465
[09:56:11.477]	  0.355	  0.455
[09:56:11.484]	  0.345	  0.445
[09:56:11.492]	  0.345	  0.445
[09:56:11.500]	  0.335	  0.425
[09:56:11.508]	  0.325	  0.425
[09:56:11.516]	  0.325	  0.425
[09:56:11.523]	  0.315	  0.415
[09:56:11.531]	  0.315	  0.415
[09:56:11.539]	  0.305	  0.395
[09:56:11.547]	  0.305	  0.395
[09:56:11.555]	  0.295	  0.385
[09:56:11.563]	  0.295	  0.385
[09:56:11.570]	  0.285	  0.385
[09:56:11.578]	  0.275	  0.375
[09:56:11.586]	  0.265	  0.365
[09:56:11.594]	  0.265	  0.365
[09:56:11.602]	  0.255	  0.355
[09:56:11.609]	  0.245	  0.355
[09:56:11.617]	  0.245	  0.345
[09:56:11.625]	  0.235	  0.345
[09:56:11.633]	  0.225	  0.335
[09:56:11.641]	  0.225	  0.335
[09:56:11.648]	  0.215	  0.325
[09:56:11.656]	  0.215	  0.315
[09:56:11.664]	  0.205	  0.315
[09:56:11.672]	  0.205	  0.315
[09:56:11.680]	  0.195	  0.305
[09:56:11.688]	  0.195	  0.305
[09:56:11.695]	  0.185	  0.295
[09:56:11.703]	  0.185	  0.285
[09:56:11.711]	  0.165	  0.285
[09:56:11.719]	  0.165	  0.285
[09:56:11.727]	  0.165	  0.275
[09:56:11.734]	  0.155	  0.275
[09:56:11.742]	  0.145	  0.265
[09:56:11.750]	  0.145	  0.265
[09:56:11.758]	  0.135	  0.255
[09:56:11.766]	  0.135	  0.255
[09:56:11.773]	  0.125	  0.245
[09:56:11.781]	  0.115	  0.245
[09:56:11.789]	  0.115	  0.235
[09:56:11.797]	  0.115	  0.235
[09:56:11.805]	  0.095	  0.235
[09:56:11.813]	  0.095	  0.225
[09:56:11.820]	  0.085	  0.215
[09:56:11.828]	  0.085	  0.215
[09:56:11.836]	  0.075	  0.205
[09:56:11.844]	  0.065	  0.195
[09:56:11.852]	  0.055	  0.175
[09:56:11.859]	  0.035	  0.165
[09:56:11.867]	 -0.115	 -0.485
[09:56:11.875]	 -0.615	 -0.495
[09:56:11.883]	 -0.605	 -0.485
[09:56:11.891]	 -0.595	 -0.475
[09:56:11.898]	 -0.585	 -0.475
[09:56:11.906]	 -0.585	 -0.465
[09:56:11.914]	 -0.575	 -0.465
[09:56:11.922]	 -0.565	 -0.455
[09:56:11.930]	 -0.565	 -0.445
[09:56:11.938]	 -0.555	 -0.435
[09:56:11.945]	 -0.545	 -0.435
[09:56:11.953]	 -0.545	 -0.425
[09:56:11.961]	 -0.535	 -0.425
[09:56:11.969]	 -0.525	 -0.415
[09:56:11.977]	 -0.515	 -0.405
[09:56:11.984]	 -0.515	 -0.395
[09:56:11.992]	 -0.505	 -0.395
[09:56:12.000]	 -0.495	 -0.385
[09:56:12.008]	 -0.495	 -0.375
[09:56:12.016]	 -0.485	 -0.365
[09:56:12.023]	 -0.485	 -0.365
[09:56:12.031]	 -0.475	 -0.355
[09:56:12.039]	 -0.465	 -0.345
[09:56:12.047]	 -0.455	 -0.345
[09:56:12.055]	 -0.455	 -0.335
[09:56:12.063]	 -0.455	 -0.335
[09:56:12.070]	 -0.445	 -0.325
[09:56:12.078]	 -0.435	 -0.325
[09:56:12.086]	 -0.435	 -0.325
[09:56:12.094]	 -0.425	 -0.305
[09:56:12.102]	 -0.425	 -0.295
[09:56:12.109]	 -0.425	 -0.295
[09:56:12.117]	 -0.415	 -0.295
[09:56:12.125]	 -0.405	 -0.285
[09:56:12.133]	 -0.405	 -0.285
[09:56:12.141]	 -0.395	 -0.265
[09:56:12.148]	 -0.395	 -0.265
[09:56:12.156]	 -0.385	 -0.265
[09:56:12.164]	 -0.385	 -0.255
[09:56:12.172]	 -0.385	 -0.245
[09:56:12.180]	 -0.375	 -0.245
[09:56:12.188]	 -0.365	 -0.235
[09:56:12.195]	 -0.365	 -0.235
[09:56:12.203]	 -0.355	 -0.235
[09:56:12.211]	 -0.355	 -0.225
[09:56:12.219]	 -0.345	 -0.215
[09:56:12.227]	 -0.335	 -0.205
[09:56:12.234]	 -0.325	 -0.215
[09:56:12.242]	 -0.325	 -0.205
[09:56:12.250]	 -0.325	 -0.195
[09:56:12.258]	 -0.315	 -0.185
[09:56:12.266]	 -0.305	 -0.185
[09:56:12.273]	 -0.315	 -0.185
[09:56:12.281]	 -0.295	 -0.175
[09:56:12.289]	 -0.285	 -0.175
[09:56:12.297]	 -0.285	 -0.165
[09:56:12.305]	 -0.285	 -0.155
[09:56:12.313]	 -0.275	 -0.165
[09:56:12.320]	 -0.275	 -0.155
[09:56:12.328]	 -0.265	 -0.145
[09:56:12.336]	 -0.255	 -0.135
[09:56:12.344]	 -0.245	 -0.125
[09:56:12.352]	 -0.235	 -0.115
[09:56:12.359]	 -0.215	 -0.115
[09:56:12.367]	 -0.045	  0.555
[09:56:12.375]	  0.425	  0.565
[09:56:12.383]	  0.415	  0.545
[09:56:12.391]	  0.415	  0.545
[09:56:12.398]	  0.405	  0.535
[09:56:12.406]	  0.395	  0.535
[09:56:12.414]	  0.395	  0.525
[09:56:12.422]	  0.395	  0.525
[09:56:12.430]	  0.385	  0.515
[09:56:12.438]	  0.375	  0.505
[09:56:12.445]	  0.375	  0.495
[09:56:12.453]	  0.365	  0.495
[09:56:12.461]	  0.355	  0.485
[09:56:12.469]	  0.355	  0.475
[09:56:12.477]	  0.345	  0.465
[09:56:12.484]	  0.345	  0.465
[09:56:12.492]	  0.335	  0.465
[09:56:12.500]	  0.335	  0.455
[09:56:12.508]	  0.315	  0.445
[09:56:12.516]	  0.315	  0.445
[09:56:12.523]	  0.315	  0.435
[09:56:12.531]	  0.305	  0.435
[09:56:12.539]	  0.295	  0.425
[09:56:12.547]	  0.295	  0.415
[09:56:12.555]	  0.285	  0.415
[09:56:12.563]	  0.285	  0.405
[09:56:12.570]	  0.275	  0.395
[09:56:12.578]	  0.275	  0.395
[09:56:12.586]	  0.265	  0.385
[09:56:12.594]	  0.255	  0.385
[09:56:12.602]	  0.255	  0.385
[09:56:12.609]	  0.245	  0.375
[09:56:12.617]	  0.235	  0.365
[09:56:12.625]	  0.235	  0.365
[09:56:12.633]	  0.225	  0.355
[09:56:12.641]	  0.225	  0.345
[09:56:12.648]	  0.215	  0.345
[09:56:12.656]	  0.215	  0.335
[09:56:12.664]	  0.205	  0.335
[09:56:12.672]	  0.195	  0.335
[09:56:12.680]	  0.185	  0.325
[09:56:12.688]	  0.185	  0.325
[09:56:12.695]	  0.175	  0.315
[09:56:12.703]	  0.175	  0.315
[09:56:12.711]	  0.165	  0.305
[09:56:12.719]	  0.165	  0.305
[09:56:12.727]	  0.155	  0.295
[09:56:12.734]	  0.155	  0.295
[09:56:12.742]	  0.135	  0.285
[09:56:12.750]	  0.145	  0.285
[09:56:12.758]	  0.135	  0.285
[09:56:12.766]	  0.125	  0.275
[09:56:12.773]	  0.115	  0.265
[09:56:12.781]	  0.125	  0.265
[09:56:12.789]	  0.105	  0.265
[09:56:12.797]	  0.105	  0.255
[09:56:12.805]	  0.095	  0.255
[09:56:12.813]	  0.095	  0.245
[09:56:12.820]	  0.085	  0.235
[09:56:12.828]	  0.075	  0.235
[09:56:12.836]	  0.065	  0.225
[09:56:12.844]	  0.065	  0.215
[09:56:12.852]	  0.045	  0.195
[09:56:12.859]	  0.025	  0.145
[09:56:12.867]	 -0.385	 -0.495
[09:56:12.875]	 -0.645	 -0.465
[09:56:12.883]	 -0.625	 -0.445
[09:56:12.891]	 -0.615	 -0.455
[09:56:12.898]	 -0.615	 -0.445
[09:56:12.906]	 -0.605	 -0.445
[09:56:12.914]	 -0.605	 -0.435
[09:56:12.922]	 -0.595	 -0.425
[09:56:12.930]	 -0.595	 -0.435
[09:56:12.938]	 -0.585	 -0.415
[09:56:12.945]	 -0.575	 -0.415
[09:56:12.953]	 -0.565	 -0.395
[09:56:12.961]	 -0.565	 -0.395
[09:56:12.969]	 -0.555	 -0.395
[09:56:12.977]	 -0.545	 -0.395
[09:56:12.984]	 -0.545	 -0.375
[09:56:12.992]	 -0.535	 -0.375
[09:56:13.000]	 -0.525	 -0.365
[09:56:13.008]	 -0.525	 -0.365
[09:56:13.016]	 -0.515	 -0.355
[09:56:13.023]	 -0.515	 -0.345
[09:56:13.031]	 -0.505	 -0.335
[09:56:13.039]	 -0.495	 -0.335
[09:56:13.047]	 -0.495	 -0.325
[09:56:13.055]	 -0.485	 -0.315
[09:56:13.063]	 -0.475	 -0.315
[09:56:13.070]	 -0.475	 -0.305
[09:56:13.078]	 -0.465	 -0.295
[09:56:13.086]	 -0.455	 -0.305
[09:56:13.094]	 -0.445	 -0.295
[09:56:13.102]	 -0.445	 -0.285
[09:56:13.109]	 -0.435	 -0.275
[09:56:13.117]	 -0.435	 -0.275
[09:56:13.125]	 -0.425	 -0.275
[09:56:13.133]	 -0.425	 -0.265
[09:56:13.141]	 -0.415	 -0.255
[09:56:13.148]	 -0.415	 -0.255
[09:56:13.156]	 -0.395	 -0.245
[09:56:13.164]	 -0.395	 -0.245
[09:56:13.172]	 -0.395	 -0.235
[09:56:13.180]	 -0.385	 -0.235
[09:56:13.188]	 -0.375	 -0.225
[09:56:13.195]	 -0.375	 -0.225
[09:56:13.203]	 -0.365	 -0.225
[09:56:13.211]	 -0.365	 -0.215
[09:56:13.219]	 -0.355	 -0.215
[09:56:13.227]	 -0.355	 -0.215
[09:56:13.234]	 -0.335	 -0.205
[09:56:13.242]	 -0.335	 -0.195
[09:56:13.250]	 -0.325	 -0.195
[09:56:13.258]	 -0.325	 -0.185
[09:56:13.266]	 -0.325	 -0.185
[09:56:13.273]	 -0.315	 -0.175
[09:56:13.281]	 -0.295	 -0.175
[09:56:13.289]	 -0.305	 -0.175
[09:56:13.297]	 -0.295	 -0.165
[09:56:13.305]	 -0.295	 -0.165
[09:56:13.313]	 -0.285	 -0.155
[09:56:13.320]	 -0.265	 -0.155
[09:56:13.328]	 -0.265	 -0.145
[09:56:13.336]	 -0.255	 -0.135
[09:56:13.344]	 -0.245	 -0.135
[09:56:13.352]	 -0.235	 -0.115
[09:56:13.359]	 -0.215	 -0.105
[09:56:13.367]	 -0.195	  0.445
[09:56:13.375]	  0.415	  0.565
[09:56:13.383]	  0.425	  0.545
[09:56:13.391]	  0.415	  0.545
[09:56:13.398]	  0.415	  0.535
[09:56:13.406]	  0.415	  0.525
[09:56:13.414]	  0.405	  0.515
[09:56:13.422]	  0.395	  0.515
[09:56:13.430]	  0.395	  0.505
[09:56:13.438]	  0.385	  0.495
[09:56:13.445]	  0.385	  0.495
[09:56:13.453]	  0.375	  0.475
[09:56:13.461]	  0.365	  0.475
[09:56:13.469]	  0.365	  0.465
[09:56:13.477]	  0.355	  0.465
[09:56:13.484]	  0.345	  0.455
[09:56:13.492]	  0.335	  0.445
[09:56:13.500]	  0.335	  0.435
[09:56:13.508]	  0.325	  0.435
[09:56:13.516]	  0.315	  0.425
[09:56:13.523]	  0.305	  0.415
[09:56:13.531]	  0.305	  0.405
[09:56:13.539]	  0.305	  0.405
[09:56:13.547]	  0.295	  0.395
[09:56:13.555]	  0.285	  0.385
[09:56:13.563]	  0.275	  0.385
[09:56:13.570]	  0.275	  0.375
[09:56:13.578]	  0.265	  0.375
[09:56:13.586]	  0.265	  0.365
[09:56:13.594]	  0.255	  0.355
[09:56:13.602]	  0.255	  0.355
[09:56:13.609]	  0.245	  0.345
[09:56:13.617]	  0.235	  0.345
[09:56:13.625]	  0.235	  0.335
[09:56:13.633]	  0.225	  0.325
[09:56:13.641]	  0.225	  0.325
[09:56:13.648]	  0.215	  0.325
[09:56:13.656]	  0.215	  0.315
[09:56:13.664]	  0.205	  0.315
[09:56:13.672]	  0.205	  0.305
[09:56:13.680]	  0.195	  0.295
[09:56:13.688]	  0.185	  0.295
[09:56:13.695]	  0.185	  0.295
[09:56:13.703]	  0.185	  0.285
[09:56:13.711]	  0.175	  0.285
[09:56:13.719]	  0.165	  0.275
[09:56:13.727]	  0.155	  0.265
[09:56:13.734]	  0.155	  0.265
[09:56:13.742]	  0.145	  0.255
[09:56:13.750]	  0.145	  0.255
[09:56:13.758]	  0.135	  0.245
[09:56:13.766]	  0.135	  0.245
[09:56:13.773]	  0.125	  0.235
[09:56:13.781]	  0.125	  0.235
[09:56:13.789]	  0.115	  0.235
[09:56:13.797]	  0.105	  0.215
[09:56:13.805]	  0.095	  0.215
[09:56:13.813]	  0.095	  0.205
[09:56:13.820]	  0.085	  0.205
[09:56:13.828]	  0.085	  0.205
[09:56:13.836]	  0.075	  0.185
[09:56:13.844]	  0.065	  0.185
[09:56:13.852]	  0.055	  0.165
[09:56:13.859]	  0.025	  0.115
[09:56:13.867]	 -0.415	 -0.535
[09:56:13.875]	 -0.645	 -0.505
[09:56:13.883]	 -0.625	 -0.495
[09:56:13.891]	 -0.615	 -0.495
[09:56:13.898]	 -0.615	 -0.485
[09:56:13.906]	 -0.605	 -0.485
[09:56:13.914]	 -0.605	 -0.485
[09:56:13.922]	 -0.595	 -0.465
[09:56:13.930]	 -0.595	 -0.465
[09:56:13.938]	 -0.585	 -0.455
[09:56:13.945]	 -0.575	 -0.445
[09:56:13.953]	 -0.575	 -0.445
[09:56:13.961]	 -0.565	 -0.435
[09:56:13.969]	 -0.565	 -0.435
[09:56:13.977]	 -0.555	 -0.425
[09:56:13.984]	 -0.545	 -0.415
[09:56:13.992]	 -0.535	 -0.415
[09:56:14.000]	 -0.535	 -0.405
[09:56:14.008]	 -0.525	 -0.395
[09:56:14.016]	 -0.515	 -0.385
[09:56:14.023]	 -0.515	 -0.385
[09:56:14.031]	 -0.505	 -0.385
[09:56:14.039]	 -0.495	 -0.375
[09:56:14.047]	 -0.485	 -0.365
[09:56:14.055]	 -0.485	 -0.355
[09:56:14.063]	 -0.475	 -0.345
[09:56:14.070]	 -0.465	 -0.345
[09:56:14.078]	 -0.465	 -0.345
[09:56:14.086]	 -0.455	 -0.335
[09:56:14.094]	 -0.455	 -0.325
[09:56:14.102]	 -0.445	 -0.325
[09:56:14.109]	 -0.435	 -0.325
[09:56:14.117]	 -0.435	 -0.315
[09:56:14.125]	 -0.425	 -0.305
[09:56:14.133]	 -0.415	 -0.295
[09:56:14.141]	 -0.415	 -0.295
[09:56:14.148]	 -0.405	 -0.295
[09:56:14.156]	 -0.395	 -0.285
[09:56:14.164]	 -0.395	 -0.275
[09:56:14.172]	 -0.385	 -0.275
[09:56:14.180]	 -0.385	 -0.265
[09:56:14.188]	 -0.375	 -0.265
[09:56:14.195]	 -0.375	 -0.255
[09:56:14.203]	 -0.365	 -0.255
[09:56:14.211]	 -0.365	 -0.245
[09:56:14.219]	 -0.345	 -0.245
[09:56:14.227]	 -0.345	 -0.235
[09:56:14.234]	 -0.335	 -0.235
[09:56:14.242]	 -0.335	 -0.235
[09:56:14.250]	 -0.325	 -0.225
[09:56:14.258]	 -0.325	 -0.215
[09:56:14.266]	 -0.315	 -0.215
[09:56:14.273]	 -0.315	 -0.215
[09:56:14.281]	 -0.295	 -0.215
[09:56:14.289]	 -0.295	 -0.205
[09:56:14.297]	 -0.285	 -0.195
[09:56:14.305]	 -0.285	 -0.195
[09:56:14.313]	 -0.275	 -0.185
[09:56:14.320]	 -0.265	 -0.185
[09:56:14.328]	 -0.265	 -0.175
[09:56:14.336]	 -0.255	 -0.165
[09:56:14.344]	 -0.245	 -0.155
[09:56:14.352]	 -0.225	 -0.135
[09:56:14.359]	 -0.195	 -0.085
[09:56:14.367]	  0.225	  0.545
[09:56:14.375]	  0.465	  0.525
[09:56:14.383]	  0.435	  0.515
[09:56:14.391]	  0.425	  0.505
[09:56:14.398]	  0.425	  0.495
[09:56:14.406]	  0.425	  0.495
[09:56:14.414]	  0.415	  0.485
[09:56:14.422]	  0.405	  0.485
[09:56:14.430]	  0.405	  0.485
[09:56:14.438]	  0.405	  0.465
[09:56:14.445]	  0.385	  0.465
[09:56:14.453]	  0.385	  0.465
[09:56:14.461]	  0.375	  0.445
[09:56:14.469]	  0.375	  0.445
[09:56:14.477]	  0.365	  0.435
[09:56:14.484]	  0.355	  0.425
[09:56:14.492]	  0.345	  0.425
[09:56:14.500]	  0.345	  0.415
[09:56:14.508]	  0.335	  0.405
[09:56:14.516]	  0.335	  0.405
[09:56:14.523]	  0.315	  0.395
[09:56:14.531]	  0.325	  0.395
[09:56:14.539]	  0.315	  0.385
[09:56:14.547]	  0.315	  0.375
[09:56:14.555]	  0.305	  0.365
[09:56:14.563]	  0.295	  0.365
[09:56:14.570]	  0.285	  0.355
[09:56:14.578]	  0.285	  0.355
[09:56:14.586]	  0.275	  0.345
[09:56:14.594]	  0.275	  0.345
[09:56:14.602]	  0.275	  0.345
[09:56:14.609]	  0.265	  0.335
[09:56:14.617]	  0.255	  0.325
[09:56:14.625]	  0.255	  0.315
[09:56:14.633]	  0.245	  0.315
[09:56:14.641]	  0.245	  0.315
[09:56:14.648]	  0.235	  0.305
[09:56:14.656]	  0.235	  0.305
[09:56:14.664]	  0.225	  0.295
[09:56:14.672]	  0.215	  0.285
[09:56:14.680]	  0.205	  0.285
[09:56:14.688]	  0.205	  0.285
[09:56:14.695]	  0.205	  0.275
[09:56:14.703]	  0.195	  0.275
[09:56:14.711]	  0.185	  0.265
[09:56:14.719]	  0.185	  0.265
[09:56:14.727]	  0.175	  0.255
[09:56:14.734]	  0.165	  0.255
[09:56:14.742]	  0.165	  0.245
[09:56:14.750]	  0.165	  0.245
[09:56:14.758]	  0.155	  0.235
[09:56:14.766]	  0.145	  0.235
[09:56:14.773]	  0.135	  0.235
[09:56:14.781]	  0.135	  0.225
[09:56:14.789]	  0.135	  0.215
[09:56:14.797]	  0.125	  0.215
[09:56:14.805]	  0.115	  0.205
[09:56:14.813]	  0.105	  0.205
[09:56:14.820]	  0.105	  0.195
[09:56:14.828]	  0.105	  0.195
[09:56:14.836]	  0.085	  0.185
[09:56:14.844]	  0.075	  0.165
[09:56:14.852]	  0.065	  0.155
[09:56:14.859]	  0.045	  0.155
[09:56:14.867]	 -0.305	 -0.535
[09:56:14.875]	 -0.645	 -0.515
[09:56:14.883]	 -0.615	 -0.515
[09:56:14.891]	 -0.605	 -0.505
[09:56:14.898]	 -0.605	 -0.505
[09:56:14.906]	 -0.595	 -0.495
[09:56:14.914]	 -0.595	 -0.485
[09:56:14.922]	 -0.585	 -0.475
[09:56:14.930]	 -0.575	 -0.475
[09:56:14.938]	 -0.575	 -0.465
[09:56:14.945]	 -0.565	 -0.465
[09:56:14.953]	 -0.555	 -0.455
[09:56:14.961]	 -0.555	 -0.445
[09:56:14.969]	 -0.535	 -0.435
[09:56:14.977]	 -0.535	 -0.435
[09:56:14.984]	 -0.525	 -0.425
[09:56:14.992]	 -0.525	 -0.425
[09:56:15.000]	 -0.515	 -0.405
[09:56:15.008]	 -0.505	 -0.395
[09:56:15.016]	 -0.495	 -0.405
[09:56:15.023]	 -0.495	 -0.395
[09:56:15.031]	 -0.485	 -0.385
[09:56:15.039]	 -0.485	 -0.375
[09:56:15.047]	 -0.475	 -0.365
[09:56:15.055]	 -0.475	 -0.375
[09:56:15.063]	 -0.455	 -0.355
[09:56:15.070]	 -0.455	 -0.355
[09:56:15.078]	 -0.445	 -0.345
[09:56:15.086]	 -0.445	 -0.345
[09:56:15.094]	 -0.435	 -0.335
[09:56:15.102]	 -0.425	 -0.335
[09:56:15.109]	 -0.415	 -0.325
[09:56:15.117]	 -0.415	 -0.315
[09:56:15.125]	 -0.405	 -0.315
[09:56:15.133]	 -0.405	 -0.305
[09:56:15.141]	 -0.395	 -0.305
[09:56:15.148]	 -0.395	 -0.305
[09:56:15.156]	 -0.385	 -0.295
[09:56:15.164]	 -0.375	 -0.285
[09:56:15.172]	 -0.375	 -0.285
[09:56:15.180]	 -0.365	 -0.275
[09:56:15.188]	 -0.355	 -0.275
[09:56:15.195]	 -0.345	 -0.265
[09:56:15.203]	 -0.345	 -0.265
[09:56:15.211]	 -0.345	 -0.255
[09:56:15.219]	 -0.325	 -0.255
[09:56:15.227]	 -0.325	 -0.255
[09:56:15.234]	 -0.325	 -0.245
[09:56:15.242]	 -0.325	 -0.235
[09:56:15.250]	 -0.315	 -0.235
[09:56:15.258]	 -0.305	 -0.235
[09:56:15.266]	 -0.295	 -0.225
[09:56:15.273]	 -0.305	 -0.215
[09:56:15.281]	 -0.295	 -0.215
[09:56:15.289]	 -0.285	 -0.215
[09:56:15.297]	 -0.275	 -0.205
[09:56:15.305]	 -0.275	 -0.205
[09:56:15.313]	 -0.265	 -0.185
[09:56:15.320]	 -0.255	 -0.185
[09:56:15.328]	 -0.255	 -0.175
[09:56:15.336]	 -0.245	 -0.175
[09:56:15.344]	 -0.235	 -0.165
[09:56:15.352]	 -0.225	 -0.145
[09:56:15.359]	 -0.195	 -0.085
[09:56:15.367]	  0.285	  0.545
[09:56:15.375]	  0.475	  0.525
[09:56:15.383]	  0.445	  0.505
[09:56:15.391]	  0.435	  0.505
[09:56:15.398]	  0.435	  0.495
[09:56:15.406]	  0.425	  0.495
[09:56:15.414]	  0.425	  0.485
[09:56:15.422]	  0.415	  0.475
[09:56:15.430]	  0.405	  0.475
[09:56:15.438]	  0.405	  0.465
[09:56:15.445]	  0.395	  0.455
[09:56:15.453]	  0.395	  0.445
[09:56:15.461]	  0.385	  0.445
[09:56:15.469]	  0.385	  0.435
[09:56:15.477]	  0.365	  0.435
[09:56:15.484]	  0.365	  0.425
[09:56:15.492]	  0.365	  0.425
[09:56:15.500]	  0.355	  0.415
[09:56:15.508]	  0.345	  0.405
[09:56:15.516]	  0.335	  0.395
[09:56:15.523]	  0.335	  0.385
[09:56:15.531]	  0.325	  0.385
[09:56:15.539]	  0.315	  0.375
[09:56:15.547]	  0.315	  0.375
[09:56:15.555]	  0.305	  0.365
[09:56:15.563]	  0.295	  0.365
[09:56:15.570]	  0.295	  0.355
[09:56:15.578]	  0.295	  0.345
[09:56:15.586]	  0.275	  0.345
[09:56:15.594]	  0.285	  0.335
[09:56:15.602]	  0.275	  0.335
[09:56:15.609]	  0.265	  0.335
[09:56:15.617]	  0.255	  0.315
[09:56:15.625]	  0.255	  0.315
[09:56:15.633]	  0.245	  0.315
[09:56:15.641]	  0.245	  0.305
[09:56:15.648]	  0.235	  0.305
[09:56:15.656]	  0.235	  0.295
[09:56:15.664]	  0.225	  0.285
[09:56:15.672]	  0.225	  0.285
[09:56:15.680]	  0.205	  0.285
[09:56:15.688]	  0.215	  0.275
[09:56:15.695]	  0.205	  0.265
[09:56:15.703]	  0.195	  0.265
[09:56:15.711]	  0.195	  0.265
[09:56:15.719]	  0.185	  0.255
[09:56:15.727]	  0.175	  0.255
[09:56:15.734]	  0.175	  0.245
[09:56:15.742]	  0.165	  0.235
[09:56:15.750]	  0.155	  0.235
[09:56:15.758]	  0.145	  0.235
[09:56:15.766]	  0.145	  0.235
[09:56:15.773]	  0.145	  0.225
[09:56:15.781]	  0.135	  0.215
[09:56:15.789]	  0.135	  0.215
[09:56:15.797]	  0.125	  0.205
[09:56:15.805]	  0.115	  0.205
[09:56:15.813]	  0.115	  0.195
[09:56:15.820]	  0.105	  0.185
[09:56:15.828]	  0.105	  0.185
[09:56:15.836]	  0.085	  0.175
[09:56:15.844]	  0.085	  0.175
[09:56:15.852]	  0.075	  0.145
[09:56:15.859]	  0.045	  0.145
[09:56:15.867]	 -0.155	 -0.525
[09:56:15.875]	 -0.605	 -0.525
[09:56:15.883]	 -0.585	 -0.515
[09:56:15.891]	 -0.585	 -0.515
[09:56:15.898]	 -0.575	 -0.505
[09:56:15.906]	 -0.565	 -0.505
[09:56:15.914]	 -0.565	 -0.495
[09:56:15.922]	 -0.565	 -0.485
[09:56:15.930]	 -0.555	 -0.485
[09:56:15.938]	 -0.545	 -0.485
[09:56:15.945]	 -0.535	 -0.475
[09:56:15.953]	 -0.535	 -0.465
[09:56:15.961]	 -0.525	 -0.455
[09:56:15.969]	 -0.515	 -0.445
[09:56:15.977]	 -0.515	 -0.445
[09:56:15.984]	 -0.505	 -0.435
[09:56:15.992]	 -0.495	 -0.425
[09:56:16.000]	 -0.485	 -0.425
[09:56:16.008]	 -0.485	 -0.415
[09:56:16.016]	 -0.485	 -0.405
[09:56:16.023]	 -0.475	 -0.405
[09:56:16.031]	 -0.465	 -0.395
[09:56:16.039]	 -0.465	 -0.395
[09:56:16.047]	 -0.455	 -0.375
[09:56:16.055]	 -0.455	 -0.375
[09:56:16.063]	 -0.435	 -0.365
[09:56:16.070]	 -0.435	 -0.365
[09:56:16.078]	 -0.425	 -0.355
[09:56:16.086]	 -0.425	 -0.345
[09:56:16.094]	 -0.415	 -0.345
[09:56:16.102]	 -0.415	 -0.335
[09:56:16.109]	 -0.405	 -0.335
[09:56:16.117]	 -0.405	 -0.335
[09:56:16.125]	 -0.395	 -0.325
[09:56:16.133]	 -0.385	 -0.315
[09:56:16.141]	 -0.385	 -0.305
[09:56:16.148]	 -0.385	 -0.305
[09:56:16.156]	 -0.365	 -0.305
[09:56:16.164]	 -0.365	 -0.295
[09:56:16.172]	 -0.355	 -0.295
[09:56:16.180]	 -0.355	 -0.285
[09:56:16.188]	 -0.345	 -0.285
[09:56:16.195]	 -0.345	 -0.285
[09:56:16.203]	 -0.335	 -0.275
[09:56:16.211]	 -0.335	 -0.265
[09:56:16.219]	 -0.325	 -0.255
[09:56:16.227]	 -0.325	 -0.255
[09:56:16.234]	 -0.305	 -0.255
[09:56:16.242]	 -0.305	 -0.255
[09:56:16.250]	 -0.295	 -0.245
[09:56:16.258]	 -0.285	 -0.235
[09:56:16.266]	 -0.285	 -0.235
[09:56:16.273]	 -0.285	 -0.235
[09:56:16.281]	 -0.275	 -0.225
[09:56:16.289]	 -0.275	 -0.225
[09:56:16.297]	 -0.265	 -0.215
[09:56:16.305]	 -0.255	 -0.215
[09:56:16.313]	 -0.245	 -0.205
[09:56:16.320]	 -0.235	 -0.195
[09:56:16.328]	 -0.225	 -0.185
[09:56:16.336]	 -0.235	 -0.185
[09:56:16.344]	 -0.215	 -0.175
[09:56:16.352]	 -0.205	 -0.155
[09:56:16.359]	 -0.185	  0.135
[09:56:16.367]	  0.415	  0.525
[09:56:16.375]	  0.465	  0.505
[09:56:16.383]	  0.455	  0.485
[09:56:16.391]	  0.445	  0.485
[09:56:16.398]	  0.435	  0.485
[09:56:16.406]	  0.435	  0.465
[09:56:16.414]	  0.425	  0.465
[09:56:16.422]	  0.425	  0.465
[09:56:16.430]	  0.415	  0.455
[09:56:16.438]	  0.405	  0.445
[09:56:16.445]	  0.405	  0.435
[09:56:16.453]	  0.395	  0.435
[09:56:16.461]	  0.385	  0.425
[09:56:16.469]	  0.385	  0.425
[09:56:16.477]	  0.375	  0.415
[09:56:16.484]	  0.365	  0.405
[09:56:16.492]	  0.355	  0.405
[09:56:16.500]	  0.355	  0.395
[09:56:16.508]	  0.345	  0.395
[09:56:16.516]	  0.345	  0.385
[09:56:16.523]	  0.335	  0.365
[09:56:16.531]	  0.335	  0.365
[09:56:16.539]	  0.325	  0.365
[09:56:16.547]	  0.315	  0.355
[09:56:16.555]	  0.315	  0.345
[09:56:16.563]	  0.315	  0.335
[09:56:16.570]	  0.295	  0.335
[09:56:16.578]	  0.295	  0.335
[09:56:16.586]	  0.285	  0.325
[09:56:16.594]	  0.285	  0.325
[09:56:16.602]	  0.285	  0.315
[09:56:16.609]	  0.275	  0.305
[09:56:16.617]	  0.265	  0.305
[09:56:16.625]	  0.265	  0.295
[09:56:16.633]	  0.255	  0.295
[09:56:16.641]	  0.265	  0.295
